                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                  1.792,                 2.0995,                 1.7011,                0.07085,                0.25766,                0.04578,                0.02413,                 1.3343,                 22.176,                 1.2878,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.7939,                 2.0878,                 1.7033,                0.07804,                0.23751,                0.04683,                0.02487,                 1.3283,                 22.111,                 1.2912,               0.007228,               0.007228,               0.007228
                     58,                   1.78,                 2.0834,                 1.6893,                0.07079,                0.25999,                0.04736,                0.02484,                 1.3376,                 22.686,                 1.2991,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.7891,                 2.0867,                 1.6889,                0.05996,                0.22608,                0.04742,                0.02421,                 1.3394,                 22.851,                 1.2945,               0.007129,               0.007129,               0.007129
                     60,                 1.7768,                 2.0742,                 1.6869,                0.06625,                0.22387,                  0.046,                0.02358,                 1.3402,                 22.388,                 1.2944,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.7771,                 2.0755,                 1.6814,                0.05646,                0.28002,                0.04742,                0.02485,                 1.3364,                 22.458,                 1.2951,                0.00703,                0.00703,                0.00703
                     62,                 1.7889,                 2.0884,                 1.6904,                0.07149,                0.31626,                0.04823,                 0.0254,                 1.3255,                 22.598,                 1.2872,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.7799,                  2.059,                 1.6846,                0.06762,                 0.3342,                0.05014,                0.02593,                 1.3207,                 22.637,                 1.2866,               0.006931,               0.006931,               0.006931
                     64,                 1.7632,                 2.0544,                 1.6707,                0.05504,                0.30472,                0.04885,                0.02664,                 1.3104,                 22.473,                 1.2827,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.7619,                 2.0544,                 1.6731,                 0.0558,                0.29796,                0.05022,                0.02705,                 1.3061,                 22.443,                 1.2799,               0.006832,               0.006832,               0.006832
                     66,                 1.7668,                 2.0575,                 1.6771,                0.06175,                 0.2912,                0.04841,                0.02615,                 1.3025,                 22.586,                 1.2767,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.7629,                  2.038,                 1.6683,                0.05973,                 0.2912,                0.04915,                0.02715,                 1.2941,                 22.938,                 1.2687,               0.006733,               0.006733,               0.006733
                     68,                  1.756,                 2.0337,                 1.6597,                0.05571,                0.28445,                0.04861,                0.02655,                 1.2965,                 22.768,                 1.2662,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.7461,                 2.0168,                 1.6623,                0.06885,                0.25975,                0.04702,                0.02533,                 1.2983,                 22.998,                 1.2662,               0.006634,               0.006634,               0.006634
